Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g)
50:31.8,G:\WIT00021.TXT,40:56.4,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,40:56.5,0.996,0.132,0.021
50:31.8,G:\WIT00021.TXT,40:56.5,0.996,0.132,0.021
50:31.8,G:\WIT00021.TXT,40:56.6,0.997,0.131,0.017
50:31.8,G:\WIT00021.TXT,40:56.7,0.996,0.128,0.02
50:31.8,G:\WIT00021.TXT,40:56.7,0.996,0.132,0.023
50:31.8,G:\WIT00021.TXT,40:56.8,0.997,0.135,0.021
50:31.8,G:\WIT00021.TXT,40:56.9,0.997,0.132,0.023
50:31.8,G:\WIT00021.TXT,40:56.9,0.997,0.136,0.024
50:31.8,G:\WIT00021.TXT,40:57.0,0.998,0.134,0.021
50:31.8,G:\WIT00021.TXT,40:57.1,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,40:57.1,0.997,0.133,0.02
50:31.8,G:\WIT00021.TXT,40:57.2,0.996,0.131,0.021
50:31.8,G:\WIT00021.TXT,40:57.3,0.996,0.13,0.021
50:31.8,G:\WIT00021.TXT,40:57.3,0.998,0.134,0.023
50:31.8,G:\WIT00021.TXT,40:57.4,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,40:57.5,0.998,0.135,0.022
50:31.8,G:\WIT00021.TXT,40:57.5,0.998,0.133,0.019
50:31.8,G:\WIT00021.TXT,40:57.6,0.997,0.132,0.023
50:31.8,G:\WIT00021.TXT,40:57.6,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,40:57.7,0.996,0.132,0.021
50:31.8,G:\WIT00021.TXT,40:57.8,0.996,0.131,0.021
50:31.8,G:\WIT00021.TXT,40:57.8,0.996,0.134,0.021
50:31.8,G:\WIT00021.TXT,40:57.9,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,40:58.0,0.997,0.134,0.023
50:31.8,G:\WIT00021.TXT,40:58.0,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,40:58.1,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,40:58.2,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,40:58.2,0.997,0.13,0.021
50:31.8,G:\WIT00021.TXT,40:58.3,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,40:58.4,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,40:58.4,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,40:58.5,0.997,0.13,0.021
50:31.8,G:\WIT00021.TXT,40:58.6,0.996,0.134,0.023
50:31.8,G:\WIT00021.TXT,40:58.6,0.997,0.13,0.02
50:31.8,G:\WIT00021.TXT,40:58.7,0.997,0.129,0.019
50:31.8,G:\WIT00021.TXT,40:58.8,0.997,0.132,0.023
50:31.8,G:\WIT00021.TXT,40:58.8,0.997,0.134,0.022
50:31.8,G:\WIT00021.TXT,40:58.9,0.996,0.129,0.018
50:31.8,G:\WIT00021.TXT,40:58.9,0.997,0.133,0.024
50:31.8,G:\WIT00021.TXT,40:59.0,0.998,0.133,0.02
50:31.8,G:\WIT00021.TXT,40:59.1,0.996,0.132,0.02
50:31.8,G:\WIT00021.TXT,40:59.1,0.996,0.133,0.023
50:31.8,G:\WIT00021.TXT,40:59.2,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,40:59.3,0.996,0.132,0.021
50:31.8,G:\WIT00021.TXT,40:59.3,0.996,0.13,0.021
50:31.8,G:\WIT00021.TXT,40:59.4,0.997,0.134,0.022
50:31.8,G:\WIT00021.TXT,40:59.5,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,40:59.5,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,40:59.6,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,40:59.7,0.998,0.134,0.023
50:31.8,G:\WIT00021.TXT,40:59.7,0.998,0.133,0.02
50:31.8,G:\WIT00021.TXT,40:59.8,0.996,0.133,0.021
50:31.8,G:\WIT00021.TXT,40:59.9,0.997,0.133,0.02
50:31.8,G:\WIT00021.TXT,40:59.9,0.998,0.13,0.019
50:31.8,G:\WIT00021.TXT,41:00.0,0.997,0.132,0.023
50:31.8,G:\WIT00021.TXT,41:00.1,0.998,0.136,0.024
50:31.8,G:\WIT00021.TXT,41:00.1,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:00.2,0.998,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:00.2,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:00.3,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:00.4,0.996,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:00.4,0.997,0.134,0.022
50:31.8,G:\WIT00021.TXT,41:00.5,0.996,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:00.6,0.997,0.133,0.02
50:31.8,G:\WIT00021.TXT,41:00.6,0.996,0.134,0.023
50:31.8,G:\WIT00021.TXT,41:00.7,0.997,0.133,0.02
50:31.8,G:\WIT00021.TXT,41:00.8,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:00.8,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:00.9,0.998,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:01.0,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:01.0,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:01.1,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:01.2,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:01.2,0.998,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:01.3,0.997,0.133,0.022
50:31.8,G:\WIT00021.TXT,41:01.4,0.996,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:01.4,0.997,0.132,0.022
50:31.8,G:\WIT00021.TXT,41:01.5,0.997,0.134,0.022
50:31.8,G:\WIT00021.TXT,41:01.5,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:01.6,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:01.7,0.996,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:01.7,0.997,0.135,0.022
50:31.8,G:\WIT00021.TXT,41:01.8,0.996,0.136,0.022
50:31.8,G:\WIT00021.TXT,41:01.9,0.998,0.133,0.022
50:31.8,G:\WIT00021.TXT,41:01.9,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:02.0,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:02.1,0.996,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:02.1,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:02.2,0.998,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:02.3,0.998,0.129,0.02
50:31.8,G:\WIT00021.TXT,41:02.3,0.996,0.13,0.021
50:31.8,G:\WIT00021.TXT,41:02.4,0.997,0.134,0.02
50:31.8,G:\WIT00021.TXT,41:02.5,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:02.5,0.996,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:02.6,0.998,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:02.7,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:02.7,0.998,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:02.8,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:02.8,0.996,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:02.9,0.997,0.133,0.022
50:31.8,G:\WIT00021.TXT,41:03.0,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:03.0,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:03.1,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:03.2,0.998,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:03.2,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:03.3,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:03.4,0.997,0.133,0.023
50:31.8,G:\WIT00021.TXT,41:03.4,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:03.5,0.996,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:03.6,0.996,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:03.6,0.996,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:03.7,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:03.8,0.996,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:03.8,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:03.9,0.996,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:04.0,0.996,0.135,0.023
50:31.8,G:\WIT00021.TXT,41:04.0,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:04.1,0.996,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:04.1,0.997,0.134,0.022
50:31.8,G:\WIT00021.TXT,41:04.2,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:04.3,0.996,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:04.3,0.997,0.128,0.018
50:31.8,G:\WIT00021.TXT,41:04.4,0.996,0.136,0.024
50:31.8,G:\WIT00021.TXT,41:04.5,0.997,0.136,0.022
50:31.8,G:\WIT00021.TXT,41:04.5,0.997,0.134,0.02
50:31.8,G:\WIT00021.TXT,41:04.6,0.996,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:04.7,0.996,0.134,0.022
50:31.8,G:\WIT00021.TXT,41:04.7,0.997,0.136,0.022
50:31.8,G:\WIT00021.TXT,41:04.8,0.997,0.133,0.02
50:31.8,G:\WIT00021.TXT,41:04.9,0.996,0.132,0.022
50:31.8,G:\WIT00021.TXT,41:04.9,0.996,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:05.0,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:05.1,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:05.1,0.997,0.13,0.019
50:31.8,G:\WIT00021.TXT,41:05.2,0.996,0.135,0.023
50:31.8,G:\WIT00021.TXT,41:05.3,0.997,0.135,0.021
50:31.8,G:\WIT00021.TXT,41:05.3,0.998,0.133,0.02
50:31.8,G:\WIT00021.TXT,41:05.4,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:05.4,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:05.5,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:05.6,0.998,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:05.6,0.997,0.13,0.018
50:31.8,G:\WIT00021.TXT,41:05.7,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:05.8,0.997,0.135,0.022
50:31.8,G:\WIT00021.TXT,41:05.8,0.997,0.135,0.021
50:31.8,G:\WIT00021.TXT,41:05.9,0.996,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:06.0,0.997,0.13,0.021
50:31.8,G:\WIT00021.TXT,41:06.0,0.998,0.133,0.022
50:31.8,G:\WIT00021.TXT,41:06.1,0.997,0.133,0.022
50:31.8,G:\WIT00021.TXT,41:06.2,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:06.2,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:06.3,0.997,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:06.4,0.997,0.133,0.023
50:31.8,G:\WIT00021.TXT,41:06.4,0.997,0.137,0.023
50:31.8,G:\WIT00021.TXT,41:06.5,0.998,0.129,0.019
50:31.8,G:\WIT00021.TXT,41:06.6,0.997,0.13,0.021
50:31.8,G:\WIT00021.TXT,41:06.6,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:06.7,0.996,0.133,0.022
50:31.8,G:\WIT00021.TXT,41:06.7,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:06.8,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:06.9,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:06.9,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:07.0,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:07.1,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:07.1,0.997,0.134,0.022
50:31.8,G:\WIT00021.TXT,41:07.2,0.996,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:07.3,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:07.3,0.997,0.128,0.019
50:31.8,G:\WIT00021.TXT,41:07.4,0.997,0.13,0.021
50:31.8,G:\WIT00021.TXT,41:07.5,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:07.5,0.998,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:07.6,0.997,0.131,0.022
50:31.8,G:\WIT00021.TXT,41:07.7,0.996,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:07.7,0.996,0.135,0.022
50:31.8,G:\WIT00021.TXT,41:07.8,0.998,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:07.9,0.998,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:07.9,0.998,0.132,0.022
50:31.8,G:\WIT00021.TXT,41:08.0,0.998,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:08.0,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:08.1,0.996,0.135,0.024
50:31.8,G:\WIT00021.TXT,41:08.2,0.998,0.137,0.023
50:31.8,G:\WIT00021.TXT,41:08.2,0.998,0.129,0.019
50:31.8,G:\WIT00021.TXT,41:08.3,0.998,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:08.4,0.998,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:08.4,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:08.5,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:08.6,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:08.6,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:08.7,0.997,0.129,0.02
50:31.8,G:\WIT00021.TXT,41:08.8,0.996,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:08.8,0.996,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:08.9,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:09.0,0.996,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:09.0,0.997,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:09.1,0.997,0.128,0.018
50:31.8,G:\WIT00021.TXT,41:09.2,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:09.2,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:09.3,0.996,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:09.3,0.997,0.134,0.022
50:31.8,G:\WIT00021.TXT,41:09.4,0.996,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:09.5,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:09.5,0.997,0.131,0.019
50:31.8,G:\WIT00021.TXT,41:09.6,0.997,0.13,0.02
50:31.8,G:\WIT00021.TXT,41:09.7,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:09.7,0.996,0.133,0.024
50:31.8,G:\WIT00021.TXT,41:09.8,0.996,0.134,0.022
50:31.8,G:\WIT00021.TXT,41:09.9,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:09.9,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:10.0,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:10.1,0.996,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:10.1,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:10.2,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:10.3,0.996,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:10.3,0.997,0.133,0.022
50:31.8,G:\WIT00021.TXT,41:10.4,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:10.5,0.996,0.133,0.02
50:31.8,G:\WIT00021.TXT,41:10.5,0.997,0.133,0.022
50:31.8,G:\WIT00021.TXT,41:10.6,0.996,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:10.6,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:10.7,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:10.8,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:10.8,0.996,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:10.9,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:11.0,0.997,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:11.0,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:11.1,0.997,0.13,0.02
50:31.8,G:\WIT00021.TXT,41:11.2,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:11.2,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:11.3,0.998,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:11.4,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:11.4,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:11.5,0.997,0.135,0.021
50:31.8,G:\WIT00021.TXT,41:11.6,0.998,0.133,0.02
50:31.8,G:\WIT00021.TXT,41:11.6,0.997,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:11.7,0.997,0.132,0.023
50:31.8,G:\WIT00021.TXT,41:11.8,0.997,0.133,0.022
50:31.8,G:\WIT00021.TXT,41:11.8,0.997,0.137,0.024
50:31.8,G:\WIT00021.TXT,41:11.9,0.997,0.136,0.021
50:31.8,G:\WIT00021.TXT,41:11.9,0.996,0.131,0.019
50:31.8,G:\WIT00021.TXT,41:12.0,0.997,0.134,0.022
50:31.8,G:\WIT00021.TXT,41:12.1,0.997,0.134,0.02
50:31.8,G:\WIT00021.TXT,41:12.1,0.997,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:12.2,0.996,0.13,0.021
50:31.8,G:\WIT00021.TXT,41:12.3,0.998,0.137,0.021
50:31.8,G:\WIT00021.TXT,41:12.3,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:12.4,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:12.5,0.998,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:12.5,0.998,0.133,0.02
50:31.8,G:\WIT00021.TXT,41:12.6,0.997,0.134,0.023
50:31.8,G:\WIT00021.TXT,41:12.7,0.996,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:12.7,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:12.8,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:12.9,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:12.9,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:13.0,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:13.1,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:13.1,0.998,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:13.2,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:13.2,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:13.3,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:13.4,0.998,0.136,0.021
50:31.8,G:\WIT00021.TXT,41:13.4,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:13.5,0.997,0.135,0.021
50:31.8,G:\WIT00021.TXT,41:13.6,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:13.6,0.996,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:13.7,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:13.8,0.997,0.135,0.022
50:31.8,G:\WIT00021.TXT,41:13.8,0.998,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:13.9,0.997,0.135,0.024
50:31.8,G:\WIT00021.TXT,41:14.0,0.998,0.137,0.022
50:31.8,G:\WIT00021.TXT,41:14.0,0.996,0.131,0.022
50:31.8,G:\WIT00021.TXT,41:14.1,0.996,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:14.2,0.997,0.134,0.02
50:31.8,G:\WIT00021.TXT,41:14.2,0.998,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:14.3,0.995,0.132,0.022
50:31.8,G:\WIT00021.TXT,41:14.4,0.998,0.135,0.024
50:31.8,G:\WIT00021.TXT,41:14.4,0.995,0.138,0.023
50:31.8,G:\WIT00021.TXT,41:14.5,0.996,0.135,0.021
50:31.8,G:\WIT00021.TXT,41:14.5,0.996,0.137,0.023
50:31.8,G:\WIT00021.TXT,41:14.6,0.996,0.139,0.023
50:31.8,G:\WIT00021.TXT,41:14.7,0.996,0.135,0.021
50:31.8,G:\WIT00021.TXT,41:14.7,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:14.8,0.996,0.13,0.021
50:31.8,G:\WIT00021.TXT,41:14.9,0.996,0.13,0.021
50:31.8,G:\WIT00021.TXT,41:14.9,0.996,0.134,0.022
50:31.8,G:\WIT00021.TXT,41:15.0,0.997,0.137,0.021
50:31.8,G:\WIT00021.TXT,41:15.1,0.997,0.129,0.022
50:31.8,G:\WIT00021.TXT,41:15.1,0.997,0.136,0.024
50:31.8,G:\WIT00021.TXT,41:15.2,0.996,0.136,0.021
50:31.8,G:\WIT00021.TXT,41:15.3,0.996,0.133,0.02
50:31.8,G:\WIT00021.TXT,41:15.3,0.996,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:15.4,0.997,0.129,0.02
50:31.8,G:\WIT00021.TXT,41:15.5,0.998,0.13,0.021
50:31.8,G:\WIT00021.TXT,41:15.5,0.998,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:15.6,0.997,0.134,0.022
50:31.8,G:\WIT00021.TXT,41:15.7,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:15.7,0.998,0.13,0.018
50:31.8,G:\WIT00021.TXT,41:15.8,0.997,0.129,0.02
50:31.8,G:\WIT00021.TXT,41:15.8,0.997,0.135,0.02
50:31.8,G:\WIT00021.TXT,41:15.9,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:16.0,0.998,0.13,0.02
50:31.8,G:\WIT00021.TXT,41:16.0,0.997,0.129,0.021
50:31.8,G:\WIT00021.TXT,41:16.1,0.997,0.134,0.02
50:31.8,G:\WIT00021.TXT,41:16.2,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:16.2,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:16.3,0.997,0.135,0.022
50:31.8,G:\WIT00021.TXT,41:16.4,0.996,0.133,0.022
50:31.8,G:\WIT00021.TXT,41:16.4,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:16.5,0.996,0.132,0.019
50:31.8,G:\WIT00021.TXT,41:16.6,0.996,0.132,0.022
50:31.8,G:\WIT00021.TXT,41:16.6,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:16.7,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:16.8,0.996,0.129,0.019
50:31.8,G:\WIT00021.TXT,41:16.8,0.996,0.138,0.023
50:31.8,G:\WIT00021.TXT,41:16.9,0.998,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:17.0,0.996,0.13,0.019
50:31.8,G:\WIT00021.TXT,41:17.0,0.997,0.135,0.025
50:31.8,G:\WIT00021.TXT,41:17.1,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:17.1,0.996,0.129,0.02
50:31.8,G:\WIT00021.TXT,41:17.2,0.998,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:17.3,0.996,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:17.3,0.997,0.134,0.02
50:31.8,G:\WIT00021.TXT,41:17.4,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:17.5,0.997,0.133,0.022
50:31.8,G:\WIT00021.TXT,41:17.5,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:17.6,0.997,0.133,0.02
50:31.8,G:\WIT00021.TXT,41:17.7,0.997,0.129,0.018
50:31.8,G:\WIT00021.TXT,41:17.7,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:17.8,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:17.9,0.996,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:17.9,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:18.0,0.997,0.136,0.022
50:31.8,G:\WIT00021.TXT,41:18.1,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:18.1,0.996,0.133,0.022
50:31.8,G:\WIT00021.TXT,41:18.2,0.996,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:18.3,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:18.3,0.997,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:18.4,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:18.4,0.998,0.136,0.023
50:31.8,G:\WIT00021.TXT,41:18.5,0.996,0.135,0.021
50:31.8,G:\WIT00021.TXT,41:18.6,0.997,0.135,0.021
50:31.8,G:\WIT00021.TXT,41:18.6,0.996,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:18.7,0.997,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:18.8,0.996,0.13,0.02
50:31.8,G:\WIT00021.TXT,41:18.8,0.997,0.134,0.02
50:31.8,G:\WIT00021.TXT,41:18.9,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:19.0,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:19.0,0.996,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:19.1,0.997,0.132,0.02
50:31.8,G:\WIT00021.TXT,41:19.2,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:19.2,0.997,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:19.3,0.997,0.131,0.019
50:31.8,G:\WIT00021.TXT,41:19.4,0.996,0.134,0.023
50:31.8,G:\WIT00021.TXT,41:19.4,0.996,0.135,0.021
50:31.8,G:\WIT00021.TXT,41:19.5,0.997,0.131,0.019
50:31.8,G:\WIT00021.TXT,41:19.6,0.997,0.129,0.021
50:31.8,G:\WIT00021.TXT,41:19.6,0.997,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:19.7,0.997,0.135,0.023
50:31.8,G:\WIT00021.TXT,41:19.7,0.997,0.136,0.02
50:31.8,G:\WIT00021.TXT,41:19.8,0.997,0.13,0.018
50:31.8,G:\WIT00021.TXT,41:19.9,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:19.9,0.996,0.134,0.021
50:31.8,G:\WIT00021.TXT,41:20.0,0.996,0.133,0.022
50:31.8,G:\WIT00021.TXT,41:20.1,0.996,0.131,0.02
50:31.8,G:\WIT00021.TXT,41:20.1,0.995,0.14,0.027
50:31.8,G:\WIT00021.TXT,41:20.2,0.996,0.136,0.021
50:31.8,G:\WIT00021.TXT,41:20.3,0.996,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:20.3,0.996,0.135,0.023
50:31.8,G:\WIT00021.TXT,41:20.4,0.997,0.133,0.02
50:31.8,G:\WIT00021.TXT,41:20.5,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:20.5,0.997,0.131,0.021
50:31.8,G:\WIT00021.TXT,41:20.6,0.997,0.132,0.021
50:31.8,G:\WIT00021.TXT,41:20.7,0.996,0.133,0.022
50:31.8,G:\WIT00021.TXT,41:20.7,0.996,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:20.8,0.997,0.133,0.021
50:31.8,G:\WIT00021.TXT,41:20.9,0.996,0.132,0.021
